,mes,escopo_autuacao,uf,descricao_infracao,amparo_legal,quantidade_autos
104,FEVEREIRO,Excesso de Peso,PR,Transitar com o veículo com excesso de peso - PBT/PBTC,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",97
105,FEVEREIRO,Excesso de Peso,PR,Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",96
106,FEVEREIRO,Excesso de Peso,PR,Transitar com o veículo com excesso de peso - Por Eixo,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",885
107,FEVEREIRO,Excesso de Peso,RJ,Transitar com o veículo com excesso de peso - PBT/PBTC,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",542
108,FEVEREIRO,Excesso de Peso,RJ,Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",700
109,FEVEREIRO,Excesso de Peso,RJ,Transitar com o veículo com excesso de peso - Por Eixo,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",2739
110,FEVEREIRO,Excesso de Peso,RS,Transitar com o veículo com excesso de peso - PBT/PBTC,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",12
111,FEVEREIRO,Excesso de Peso,RS,Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",8
112,FEVEREIRO,Excesso de Peso,RS,Transitar com o veículo com excesso de peso - Por Eixo,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",159
113,FEVEREIRO,Excesso de Peso,SC,Transitar com o veículo com excesso de peso - PBT/PBTC,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",148
