,mes,escopo_autuacao,uf,descricao_infracao,amparo_legal,quantidade_autos
178,JULHO,Excesso de Peso,RS,Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",103
179,JULHO,Excesso de Peso,RS,Transitar com o veículo com excesso de peso - Por Eixo,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",630
180,JULHO,Excesso de Peso,SC,Transitar com o veículo com excesso de peso - PBT/PBTC,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",33
181,JULHO,Excesso de Peso,SC,Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",118
182,JULHO,Excesso de Peso,SC,Transitar com o veículo com excesso de peso - Por Eixo,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",387
183,JULHO,Excesso de Peso,SP,Transitar com o veículo com excesso de peso - PBT/PBTC,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",136
184,JULHO,Excesso de Peso,SP,Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",279
185,JULHO,Excesso de Peso,SP,Transitar com o veículo com excesso de peso - Por Eixo,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",831
186,JUNHO,Evasão de Balança,ES,Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos,"Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.",387
187,JUNHO,Evasão de Balança,RJ,Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos,"Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.",172
188,MAIO,Evasão de Balança,ES,Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos,"Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.",252
189,MAIO,Evasão de Balança,RJ,Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos,"Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.",239
190,MAIO,Excesso de Peso,RJ,Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",1
191,MAIO,Excesso de Peso,RJ,Transitar com o veículo com excesso de peso - Por Eixo,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",1
192,MARÇO,Cmt - Capacidade Máxima de Tração,ES,Transitar com o veículo excedendo a CMT acima de 1000 kg,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",5
193,MARÇO,Cmt - Capacidade Máxima de Tração,ES,Transitar com o veículo excedendo a CMT em até 600 kg,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",2
194,MARÇO,Cmt - Capacidade Máxima de Tração,MG,Transitar com o veículo excedendo a CMT acima de 1000 kg,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",2
