,city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths,country
5780,Brasiléia,1200104,2021-01-03,202101,26702,26278,False,False,1305,4887.27436,2021-01-03,0.0169,22,240,city,AC,0,0,Brazil
5781,Bujari,1200138,2021-01-03,202101,10420,10266,False,False,491,4712.09213,2021-01-03,0.0163,8,271,city,AC,0,0,Brazil
5782,Capixaba,1200179,2021-01-03,202101,12008,11733,False,False,306,2548.30113,2021-01-03,0.0261,8,241,city,AC,0,0,Brazil
5783,Cruzeiro do Sul,1200203,2021-01-03,202101,89072,88376,False,False,4125,4631.08496,2021-01-03,0.0175,72,266,city,AC,0,0,Brazil
5784,Epitaciolândia,1200252,2021-01-03,202101,18696,18411,False,False,604,3230.63757,2021-01-03,0.0265,16,242,city,AC,0,0,Brazil
5785,Feijó,1200302,2021-01-03,202101,34884,34780,False,False,1638,4695.56244,2021-01-03,0.0165,27,247,city,AC,0,1,Brazil
5786,Jordão,1200328,2021-01-03,202101,8473,8317,False,False,267,3151.18612,2021-01-03,0.0037,1,231,city,AC,0,0,Brazil
5787,Manoel Urbano,1200344,2021-01-03,202101,9581,9459,False,False,480,5009.91546,2021-01-03,0.0063,3,236,city,AC,0,0,Brazil
5788,Marechal Thaumaturgo,1200351,2021-01-03,202101,19299,18867,False,False,701,3632.31256,2021-01-03,0.0086,6,237,city,AC,0,0,Brazil
5789,Mâncio Lima,1200336,2021-01-03,202101,19311,18977,False,False,1326,6866.55274,2021-01-03,0.0113,15,250,city,AC,0,0,Brazil
5790,Plácido de Castro,1200385,2021-01-03,202101,19955,19761,False,False,539,2701.07742,2021-01-03,0.0167,9,273,city,AC,4,0,Brazil
5791,Porto Acre,1200807,2021-01-03,202101,18824,18504,False,False,700,3718.65703,2021-01-03,0.0257,18,281,city,AC,0,0,Brazil
5792,Porto Walter,1200393,2021-01-03,202101,12241,11982,False,False,327,2671.35038,2021-01-03,0.0061,2,236,city,AC,0,0,Brazil
5793,Rio Branco,1200401,2021-01-03,202101,413418,407319,False,False,19353,4681.21852,2021-01-03,0.0262,507,293,city,AC,101,3,Brazil
5794,Rodrigues Alves,1200427,2021-01-03,202101,19351,18930,False,False,240,1240.24598,2021-01-03,0.0292,7,237,city,AC,0,0,Brazil
5795,Santa Rosa do Purus,1200435,2021-01-03,202101,6717,6540,False,False,386,5746.61307,2021-01-03,0.0052,2,241,city,AC,0,0,Brazil
5796,Sena Madureira,1200500,2021-01-03,202101,46511,45848,False,False,2626,5645.97622,2021-01-03,0.0061,16,245,city,AC,0,0,Brazil
5797,Senador Guiomard,1200450,2021-01-03,202101,23236,23024,False,False,633,2724.22104,2021-01-03,0.0237,15,260,city,AC,0,0,Brazil
5798,Tarauacá,1200609,2021-01-03,202101,43151,42567,False,False,2871,6653.37999,2021-01-03,0.0049,14,247,city,AC,0,0,Brazil
5799,Xapuri,1200708,2021-01-03,202101,19596,19323,False,False,1803,9200.85732,2021-01-03,0.0072,13,250,city,AC,0,0,Brazil
5800,,12,2021-01-03,202101,894470,881935,False,False,42046,4700.66073,2021-01-03,0.0191,802,293,state,AC,105,4,Brazil
5801,Acrelândia,1200013,2021-01-04,202101,15490,15256,False,False,563,3634.60297,2021-01-04,0.0213,12,282,city,AC,0,0,Brazil
5802,Assis Brasil,1200054,2021-01-04,202101,7534,7417,False,False,762,10114.14919,2021-01-04,0.0118,9,249,city,AC,0,0,Brazil
5803,Brasiléia,1200104,2021-01-04,202101,26702,26278,False,False,1334,4995.88046,2021-01-04,0.0165,22,241,city,AC,29,0,Brazil
5804,Bujari,1200138,2021-01-04,202101,10420,10266,False,False,491,4712.09213,2021-01-04,0.0163,8,272,city,AC,0,0,Brazil
5805,Capixaba,1200179,2021-01-04,202101,12008,11733,False,False,306,2548.30113,2021-01-04,0.0261,8,242,city,AC,0,0,Brazil
5806,Cruzeiro do Sul,1200203,2021-01-04,202101,89072,88376,False,False,4124,4629.96228,2021-01-04,0.0175,72,267,city,AC,-1,0,Brazil
5807,Epitaciolândia,1200252,2021-01-04,202101,18696,18411,False,False,613,3278.77621,2021-01-04,0.0261,16,243,city,AC,9,0,Brazil
5808,Feijó,1200302,2021-01-04,202101,34884,34780,False,False,1638,4695.56244,2021-01-04,0.0165,27,248,city,AC,0,0,Brazil
5809,Jordão,1200328,2021-01-04,202101,8473,8317,False,False,267,3151.18612,2021-01-04,0.0037,1,232,city,AC,0,0,Brazil
5810,Manoel Urbano,1200344,2021-01-04,202101,9581,9459,False,False,479,4999.47813,2021-01-04,0.0063,3,237,city,AC,-1,0,Brazil
5811,Marechal Thaumaturgo,1200351,2021-01-04,202101,19299,18867,False,False,701,3632.31256,2021-01-04,0.0086,6,238,city,AC,0,0,Brazil
5812,Mâncio Lima,1200336,2021-01-04,202101,19311,18977,False,False,1326,6866.55274,2021-01-04,0.0113,15,251,city,AC,0,0,Brazil
5813,Plácido de Castro,1200385,2021-01-04,202101,19955,19761,False,False,552,2766.224,2021-01-04,0.0163,9,274,city,AC,13,0,Brazil
5814,Porto Acre,1200807,2021-01-04,202101,18824,18504,False,False,706,3750.53124,2021-01-04,0.0269,19,282,city,AC,6,1,Brazil
5815,Porto Walter,1200393,2021-01-04,202101,12241,11982,False,False,327,2671.35038,2021-01-04,0.0061,2,237,city,AC,0,0,Brazil
5816,Rio Branco,1200401,2021-01-04,202101,413418,407319,False,False,19360,4682.91173,2021-01-04,0.0263,510,294,city,AC,7,3,Brazil
5817,Rodrigues Alves,1200427,2021-01-04,202101,19351,18930,False,False,241,1245.41367,2021-01-04,0.029,7,238,city,AC,1,0,Brazil
5818,Santa Rosa do Purus,1200435,2021-01-04,202101,6717,6540,False,False,386,5746.61307,2021-01-04,0.0052,2,242,city,AC,0,0,Brazil
